sentence_num,sentence,word,qwen_prob
1,'He hated bees and feared encountering a',hive,-5.484699249267578
1,'He hated bees and feared encountering a',swarm,-5.108979225158691
1,'He hated bees and feared encountering a',bee,-3.8555667400360107
1,'He hated bees and feared encountering a',nest,-7.080070495605469
1,'He hated bees and feared encountering a',wasp,-7.572044551372528
1,'He hated bees and feared encountering a',beehive,-4.326576911145821
1,'He hated bees and feared encountering a',sting,-6.196770668029785
1,'He hated bees and feared encountering a',stinger,-8.299239158630371
1,'He hated bees and feared encountering a',hornet,-5.238380052149296
1,'He hated bees and feared encountering a',disease,-11.601051330566406
1,'He hated bees and feared encountering a',yellowjacket,-8.734349093399942
2,'Grace laughed when he referred to her as a',girl,-7.178967475891113
2,'Grace laughed when he referred to her as a',lady,-9.099409103393555
2,'Grace laughed when he referred to her as a',diva,-10.946141630411148
2,'Grace laughed when he referred to her as a',clown,-9.441462516784668
2,'Grace laughed when he referred to her as a',prude,-9.46570309996605
2,'Grace laughed when he referred to her as a',doll,-10.84900951385498
2,'Grace laughed when he referred to her as a',princess,-8.739156723022461
2,'Grace laughed when he referred to her as a',boy,-7.888864517211914
2,'Grace laughed when he referred to her as a',child,-7.719451904296875
2,'Grace laughed when he referred to her as a',friend,-8.775732040405273
2,'Grace laughed when he referred to her as a',bimbo,-7.7625225111842155
2,'Grace laughed when he referred to her as a',star,-8.832345008850098
2,'Grace laughed when he referred to her as a',hooker,-9.850960664451122
2,'Grace laughed when he referred to her as a',slut,-9.547836303710938
2,'Grace laughed when he referred to her as a',feminist,-9.312193870544434
2,'Grace laughed when he referred to her as a',woman,-7.0935869216918945
2,'Grace laughed when he referred to her as a',sissy,-9.077926754951477
2,'Grace laughed when he referred to her as a',kid,-8.544411659240723
2,'Grace laughed when he referred to her as a',actress,-12.00610065460205
2,'Grace laughed when he referred to her as a',wizard,-9.280457496643066
2,'Grace laughed when he referred to her as a',dork,-9.449551582336426
2,'Grace laughed when he referred to her as a',stinky,-11.813676595687866
2,'Grace laughed when he referred to her as a',male,-9.36274528503418
2,'Grace laughed when he referred to her as a',relative,-11.482022285461426
2,'Grace laughed when he referred to her as a',twit,-11.618688702583313
2,'Grace laughed when he referred to her as a',harpy,-10.382156908512115
2,'Grace laughed when he referred to her as a',baby,-8.284653663635254
2,'Grace laughed when he referred to her as a',lush,-11.696762084960938
2,'Grace laughed when he referred to her as a',teacher,-9.306913375854492
2,'Grace laughed when he referred to her as a',minx,-11.68816289305687
2,'Grace laughed when he referred to her as a',beautiful,-9.271321296691895
2,'Grace laughed when he referred to her as a',nuthead,-17.635272979736328
2,'Grace laughed when he referred to her as a',monkey,-9.166147232055664
2,'Grace laughed when he referred to her as a',bully,-10.56171989440918
2,'Grace laughed when he referred to her as a',witch,-6.156693458557129
2,'Grace laughed when he referred to her as a',jerk,-9.373807907104492
2,'Grace laughed when he referred to her as a',donkey,-11.806911826133728
2,'Grace laughed when he referred to her as a',spinster,-12.153029054403305
2,'Grace laughed when he referred to her as a',loser,-10.342318534851074
2,'Grace laughed when he referred to her as a',girly girl,-9.165594220161438
2,'Grace laughed when he referred to her as a',wench,-11.447935581207275
2,'Grace laughed when he referred to her as a',ass,-11.669272422790527
2,'Grace laughed when he referred to her as a',cheat,-10.845708847045898
2,'Grace laughed when he referred to her as a',chicken,-6.345330238342285
2,'Grace laughed when he referred to her as a',cow,-8.938017845153809
2,'Grace laughed when he referred to her as a',snob,-9.712733268737793
2,'Grace laughed when he referred to her as a',goddess,-9.808050155639648
2,'Grace laughed when he referred to her as a',puppet,-11.101664543151855
2,'Grace laughed when he referred to her as a',pookie,-13.766587257385254
2,'Grace laughed when he referred to her as a',crazy,-6.872133255004883
2,'Grace laughed when he referred to her as a',idiot,-10.830878257751465
2,'Grace laughed when he referred to her as a',liar,-11.564181327819824
