Item	ItemExpID	context	adj	noun	cond	typ
401	169	Since Jeremy was sick, he stayed in	his	bed	3	train
402	170	The young rider had trouble putting on the	horse's	saddle	3	train
403	171	Before battle, the knight needed to get a	fragile	sword	3	train
404	172	The musician plucked at the strings of his	flat-fronted	guitar	3	train
451	219	The tracker followed the prints from the	horse's	hooves	3	filler
416	184	An ambitious man, Garrett started his own	consulting	firm	3	filler
200	99	She wore heavy wool socks and her sturdiest boots to go walking in the	pine	forest	0	exp
338	156	She decided to start a new	entrepreneurial	business	0	exp
305	143	They couldn't decide on a name for their new	trained	dog	0	exp
165	83	The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his	gruesome	muscles	2	exp
96	54	Barry wisely chose to pay the	electric	fee	2	exp
328	152	Fred put the worm on the	dangling	grass	2	exp
9	7	Gary could not believe his son stole that	expensive	watch	0	exp
75	43	We sprayed the yard to keep away the	wild	bugs	1	exp
164	82	I could hear the loud telephone ringing through the	sliding	door	0	exp
333	154	Mary went into her room to look at her	impressionist	painting	3	exp
422	190	The couple began to brew their	own	beer	3	filler
160	81	Rafael wants to preserve the national forest by guarding every	living	tree	1	exp
16	11	He always hid an extra set of keys under a	rubber	rug	2	exp
270	126	It didn't get completed because he could not locate the right	ink	tool	1	exp
71	40	Rushing out he forgot to take his	spare	jacket	2	exp
357	160	They stood on the bridge tossing stale bread to the	yellow	ducks	3	exp
248	116	Joan fed her baby some warm	broccoli	milk	1	exp
109	61	The hinges were rusted shut, so he had to pry it open with a	steel	crowbar	3	exp
442	210	Zeke's closest friends threw him a giant	birthday	party	3	filler
26	16	He was caught stealing a	mountain	car	1	exp
44	24	The jeweler was asked if he would examine the ring's huge	artificial	stone	2	exp
293	137	He always seemed to be interested in looking at the	gorgeous	sky	1	exp
100	56	They decided to declaw the cat so he wouldn't tear up the	comfortable	couch	3	exp
55	32	I just had a new sound system installed in my	compact	room	2	exp
17	12	He returned the hole punch to the	substitute	teacher	0	exp
456	224	When he got to work, the baker prepared	fresh	bread	3	filler
